ID	p.Age	q.Age	Coefficient.Age	p.Sex	q.Sex	Coefficient.Sex	p.Cohort	q.Cohort	Coefficient.Cohort.Interval2	Coefficient.Cohort.Longenity.OPEL	Coefficient.Cohort.Longenity.OPUS
TFPI.3336.50.1	2,60E-112	4,00E-110	0,002455538	8,29E-57	3,97E-55	0,044332029	8,45E-05	0,000298665	0,000739044	-0,018272737	-0,023728105
WFDC2.11388.75.3	3,38E-112	4,94E-110	0,00307176	0,056099374	0,090358297	0,006576246	1,82E-22	1,77E-20	-0,002641493	0,037847658	0,069308825
CDON.4541.49.2	1,04E-111	1,45E-109	-0,002285464	2,05E-23	3,05E-22	0,025742918	0,002875471	0,006352532	-0,001383512	0,01648951	0,015213424
SVEP1.11178.21.3	6,68E-104	8,88E-102	0,002969336	2,24E-09	1,30E-08	-0,020778506	6,73E-13	1,49E-11	-0,01914054	0,005586188	0,038629207
CCL11.5301.7.3	6,98E-96	8,87E-94	0,003336222	3,83E-27	6,66E-26	0,044196648	0,000358376	0,001041998	-0,011693625	-0,005594191	-0,030813979
MXRA8.10521.10.3	5,13E-95	6,25E-93	0,002279751	6,39E-42	1,95E-40	-0,038307652	7,12E-13	1,57E-11	-0,011130178	-0,037324298	-0,000844987
MMP12.4496.60.2	2,16E-94	2,53E-92	0,003641822	0,965633194	0,974863445	0,000192944	8,72E-18	3,99E-16	0,012706237	0,05991667	0,078395404
LAMA1.LAMB1.LAMC1.2728.62.2	5,07E-93	5,70E-91	0,002600057	1,41E-08	7,53E-08	0,01831056	1,45E-08	1,37E-07	-0,014963824	-0,032795313	-0,031849564
ITGAV.ITGB5.4917.62.1	2,06E-91	2,23E-89	0,0036565	8,65E-07	3,81E-06	-0,022536713	2,58E-07	1,82E-06	-0,006731821	-0,053661597	-0,02578157
RSPO4.8464.31.3	1,54E-88	1,61E-86	0,002576963	0,000423016	0,001170597	-0,011568867	2,07E-14	5,83E-13	0,011219938	0,020157694	0,053417631
NPPB.7655.11.3	3,48E-87	3,51E-85	0,006099095	5,85E-50	2,28E-48	-0,117827187	1,78E-21	1,53E-19	-0,031851375	0,029579101	0,137203972
KLK7.3378.49.2	4,00E-87	3,90E-85	-0,002990199	0,000190418	0,000564309	0,01433313	0,041552921	0,064070793	-0,009944032	0,012597296	0,008023805
TREM1.9266.1.3	7,70E-86	7,27E-84	0,003052789	0,004086725	0,009076439	0,011346587	8,11E-06	3,88E-05	0,002410643	0,015787566	0,040817456
GREM2.5598.3.3	2,33E-84	2,13E-82	0,002436561	0,000559461	0,001513805	0,010986858	0,00379263	0,00805624	-0,013426338	-0,010923059	0,000226212
PPY.4588.1.2	8,36E-84	7,41E-82	0,005207346	0,001470975	0,003640103	0,021716457	0,000286029	0,000857208	-0,034026325	0,002081031	0,018960823
FSTL3.3438.10.2	1,89E-83	1,63E-81	0,001980072	1,28E-08	6,88E-08	-0,014824852	1,22E-19	7,15E-18	0,004099859	0,017859858	0,050115747
LHB.8376.25.4	9,57E-83	8,00E-81	0,003322359	5,21E-172	1,09E-169	-0,128407764	1,73E-17	7,55E-16	0,015322359	-0,055860445	0,018069359
CST6.14711.27.3	2,22E-82	1,80E-80	-0,002435276	1,04E-40	3,05E-39	0,043483316	2,27E-07	1,64E-06	0,003830812	0,03339036	0,031488459
CHAD.13460.4.3	1,40E-80	1,11E-78	-0,003052118	0,416155099	0,49818366	0,003321297	2,07E-09	2,35E-08	-0,001229036	0,022061506	0,0533711
CDSN.7085.81.3	2,18E-78	1,68E-76	0,003910699	2,04E-05	7,25E-05	0,022652944	0,023563625	0,03920569	-0,006526856	-0,015473217	-0,032790604
ENPP5.6556.5.3	1,18E-76	8,86E-75	-0,003128599	6,98E-61	3,78E-59	0,071924555	0,000716675	0,001917908	0,005977584	0,032287907	0,028842477
ASPN.6451.64.3	2,79E-76	2,04E-74	0,001978482	9,78E-46	3,45E-44	-0,039164599	3,30E-11	5,45E-10	-0,020336789	-0,027025411	-0,006205946
AHSG.3581.53.3	3,43E-76	2,45E-74	-0,001495934	0,495322703	0,574700081	-0,00140653	0,005571789	0,011079187	0,005802084	0,003826146	0,012716543
PRSS2.5034.79.1	3,71E-76	2,59E-74	0,004159952	0,925343145	0,942023062	-0,000537628	1,41E-08	1,34E-07	-0,012000138	-0,072212125	-0,026063391
DPT.4979.34.2	6,57E-75	4,47E-73	0,002056593	0,429898992	0,511784514	-0,002258904	4,58E-12	8,76E-11	0,006878178	0,004432025	0,03991221
SCG3.7957.2.3	3,92E-74	2,61E-72	-0,002308204	1,02E-51	4,26E-50	-0,049529124	5,99E-25	9,23E-23	-0,007931285	0,008346434	0,063213823
KDR.3651.50.5	4,49E-73	2,92E-71	-0,001398185	3,88E-08	1,95E-07	-0,010854526	0,000127937	0,000428657	0,005783477	-0,006788719	-0,013895463
CD34.9023.9.3	1,18E-71	7,53E-70	0,001714545	8,90E-25	1,39E-23	-0,025262707	0,629738639	0,670300407	-0,00085899	-0,006265841	-0,004495247
CBLN4.5688.65.3	1,36E-71	8,49E-70	-0,002076839	0,837385849	0,871966397	0,000607581	0,000130163	0,000435117	-0,013172552	0,013132974	-0,00117463
NPW.9986.14.3	1,26E-70	7,67E-69	0,006876421	3,69E-67	2,35E-65	0,173993939	2,25E-10	3,21E-09	-0,033135517	0,116576252	0,030434993
CHIT1.3600.2.3	1,94E-70	1,16E-68	0,004046979	1,34E-05	4,92E-05	-0,025363139	1,50E-14	4,31E-13	0,03627854	0,032202738	0,086305694
NFASC.7179.69.3	3,13E-69	1,83E-67	0,001553926	5,61E-11	3,88E-10	0,014815893	7,28E-05	0,000263982	0,01081868	0,006826391	0,015608342
GLTPD2.7948.129.3	2,04E-67	1,17E-65	0,002151377	4,99E-23	7,19E-22	-0,031469577	5,69E-17	2,28E-15	0,023128611	-0,024120443	-0,035690627
NAGPA.11208.15.3	4,48E-67	2,52E-65	-0,001418678	7,18E-05	0,0002312	-0,008320152	2,03E-07	1,48E-06	-0,00734755	-0,023530812	-0,012993873
AGRP.2813.11.2	1,24E-66	6,84E-65	-0,0028512	0,147918997	0,209420652	0,006110436	8,39E-11	1,30E-09	-0,003901509	0,031827357	0,057921336
ADAMTS5.3168.8.2	1,42E-66	7,69E-65	0,00187965	2,12E-06	8,72E-06	-0,013223233	3,68E-27	6,73E-25	-0,036577985	-0,001955016	0,018104206
REG4.11102.22.3	5,92E-64	3,15E-62	0,002334023	0,029732004	0,05232618	0,007681517	8,92E-05	0,000312209	0,003530522	0,011552393	0,032798962
ADAMTS13.3175.51.5	1,44E-61	7,52E-60	-0,001854332	0,000324374	0,000929278	-0,010304763	0,001297166	0,003207279	-0,002043793	-0,021066312	-0,017950176
LST1.9531.24.3	1,64E-60	8,42E-59	0,002082982	9,65E-06	3,63E-05	0,01438517	0,039974796	0,062062781	-0,005632698	-0,004141937	0,011890968
HAVCR1.9021.1.3	1,73E-60	8,73E-59	0,003879657	0,183112115	0,250164846	0,008053818	0,001828935	0,004303809	0,001462098	0,043313592	0,003372543
SIGLEC7.2742.68.2	5,51E-60	2,73E-58	0,001586796	0,744849655	0,796012145	-0,000808778	2,49E-07	1,77E-06	0,001974326	-0,028082349	-0,012075999
PTPRD.9296.15.3	5,87E-60	2,86E-58	-0,002188269	1,91E-15	1,89E-14	-0,027344239	8,83E-23	9,94E-21	-0,008140573	0,014193771	0,065616417
KIT.2475.1.3	9,78E-57	4,69E-55	-0,002397437	5,63E-24	8,67E-23	-0,039291198	4,58E-05	0,00017664	-0,021291169	-0,020320925	-0,004525638
CBR1.12381.26.3	3,16E-56	1,49E-54	0,003053748	2,03E-11	1,48E-10	0,033271437	0,178713526	0,224543413	-0,003636109	0,00061996	0,018564907
CLIC5.12475.48.3	4,88E-56	2,27E-54	-0,002279756	2,33E-192	6,82E-190	0,115406778	3,62E-11	5,88E-10	-0,004240619	0,051621936	0,025329999
CCL21.2516.57.3	2,80E-55	1,28E-53	-0,002110526	1,19E-15	1,20E-14	0,027739812	3,85E-15	1,21E-13	0,033982935	0,031759397	0,029245144
ATF6.11277.23.3	9,05E-55	4,07E-53	-0,001486742	2,96E-58	1,49E-56	0,039930469	2,74E-05	0,000113506	-0,010616418	0,014452958	0,006798248
EGFR.2677.1.1	1,34E-54	5,94E-53	-0,001134688	2,50E-06	1,02E-05	-0,008807569	2,80E-14	7,67E-13	-0,005754592	-0,028596944	-0,023376085
OMD.5358.3.3	2,89E-52	1,26E-50	-0,002685613	0,010812881	0,021662792	-0,011539619	4,86E-24	6,46E-22	-0,011575899	0,054782892	0,089566781
SPON1.4297.62.3	4,62E-52	1,99E-50	0,001532714	0,001886745	0,004530976	-0,00804797	3,66E-17	1,51E-15	-0,01165872	0,015398862	0,039586138
NTN1.6649.51.3	4,94E-52	2,09E-50	0,002319334	6,41E-17	6,94E-16	0,032878934	0,004773555	0,009736854	0,005749773	0,022978405	0,025430283
MFAP2.9294.45.3	8,60E-50	3,59E-48	0,001714489	0,727221266	0,782317838	-0,001034213	1,18E-09	1,42E-08	-0,001275037	0,032792575	0,033838498
TNFRSF11B.8304.50.3	4,21E-49	1,74E-47	0,0020117	1,85E-28	3,36E-27	-0,039061005	1,40E-13	3,56E-12	-0,008416982	0,007682235	0,049710138
CXCL10.4141.79.1	5,97E-49	2,43E-47	0,002634993	5,05E-05	0,000168528	-0,018655173	1,04E-05	4,85E-05	0,01213965	0,012549029	0,044689851
TMEM132B.8890.9.3	2,02E-47	8,09E-46	-0,001397059	2,46E-58	1,26E-56	-0,040540514	2,11E-10	3,05E-09	0,002533694	-0,008681891	0,025731796
COL1A1.11140.56.3	3,58E-47	1,42E-45	-0,002139088	0,108654094	0,16149046	0,006108448	7,21E-07	4,60E-06	-0,019427044	0,008318182	0,025264832
SCUBE1.8989.40.3	6,39E-47	2,49E-45	0,003237231	8,91E-144	1,37E-141	0,153346967	0,001869474	0,004374568	0,006945764	-0,002330477	-0,03846998
FAS.9459.7.3	1,23E-46	4,72E-45	0,001742823	3,48E-23	5,12E-22	0,031129629	3,35E-06	1,79E-05	-0,006339109	0,029455277	0,017383744
CTSF.9212.22.3	3,41E-46	1,29E-44	0,001766897	4,19E-12	3,24E-11	-0,022100805	0,061772986	0,089938269	-0,001361865	-0,004207693	-0,016929056
LTBP4.13133.73.3	1,25E-45	4,70E-44	0,001443887	5,13E-05	0,000170814	0,010602335	2,98E-16	1,10E-14	-0,015301806	0,008937446	0,034588857
CSRP3.9171.11.3	2,17E-45	8,05E-44	0,002418293	2,40E-35	5,67E-34	0,055000739	0,004435047	0,009116313	0,008345017	0,0294943	0,023451753
IL15RA.14054.17.3	3,58E-45	1,31E-43	0,001567959	1,06E-30	2,13E-29	0,033151026	7,97E-19	4,22E-17	0,004344768	0,029040064	0,054071607
CAPN2.14684.17.3	5,40E-45	1,95E-43	0,001639711	6,10E-18	7,17E-17	0,025941984	2,83E-06	1,53E-05	0,004502792	0,013054629	0,032271387
SEMG2.6373.54.3	4,45E-44	1,59E-42	0,002695154	0,001450362	0,003592133	0,015846024	0,047366416	0,071649995	0,015489916	0,018447896	0,013673666
TNFAIP6.5036.50.1	6,91E-44	2,43E-42	-0,002082233	0,492488012	0,572319204	0,002643276	3,60E-09	3,89E-08	-0,015134426	0,02361734	0,039383171
TXNDC5.11212.7.3	8,28E-44	2,88E-42	0,001458771	1,87E-14	1,73E-13	-0,020755627	9,66E-15	2,88E-13	0,003622994	0,00323448	0,041502922
DLK1.6496.60.3	6,82E-43	2,35E-41	0,002695096	0,000760469	0,002000335	0,016999419	0,209579329	0,257106893	0,003921401	0,02149175	0,012286843
CGB2.6213.10.3	6,78E-42	2,31E-40	0,00366545	0,00698829	0,014527895	-0,018752547	0,028433928	0,046333838	-0,021362637	-0,031205306	-0,021082473
PLXNB2.9216.100.3	2,77E-41	9,33E-40	0,001166125	0,237829306	0,312090947	-0,002630444	0,384641426	0,439826494	-0,00274548	4,96E-05	0,005391374
SHISA3.7057.18.3	6,78E-40	2,25E-38	0,002532086	0,034014104	0,058455497	0,01044812	0,17804961	0,223958524	0,004322099	0,000864265	0,01953759
CD163.5028.59.1	8,15E-40	2,68E-38	0,001927676	0,456694141	0,53735862	-0,002795071	0,003468141	0,007475542	-0,000288511	-0,013427936	0,015496213
CHRDL1.3362.61.2	2,57E-39	8,36E-38	0,001567478	9,31E-32	1,99E-30	-0,036341984	3,75E-54	5,49E-51	-0,006663805	0,043701493	0,096298887
FAS.5392.73.2	2,83E-39	9,10E-38	0,001575186	8,01E-23	1,14E-21	0,030571117	0,000415088	0,001186835	-0,00630499	0,022351386	0,013162374
TPPP2.12800.5.3	1,42E-38	4,52E-37	0,001632299	1,64E-15	1,64E-14	-0,025857023	0,011125805	0,020352083	-4,51E-05	-0,002776258	0,017770125
SERPINF2.3024.18.2	2,54E-38	7,98E-37	-0,000957884	1,30E-09	7,72E-09	-0,011580838	6,39E-07	4,15E-06	0,002801159	-0,015408418	-0,01846591
VEGFA.2597.8.3	5,38E-38	1,68E-36	0,001028692	0,030413609	0,053301261	0,004448735	0,007245941	0,014045313	0,004702459	0,005735817	0,013461416
TIMP4.6462.12.3	9,71E-38	2,99E-36	0,001778293	2,90E-89	2,50E-87	-0,073122799	2,42E-08	2,18E-07	-0,00920582	-0,00341015	0,034376735
CXCL11.3038.9.2	1,34E-37	4,09E-36	0,003267579	1,02E-18	1,26E-17	-0,058236109	0,045831483	0,069748744	-0,002278577	-0,001477563	-0,033897844
BCAN.3461.58.1	6,57E-37	1,98E-35	-0,00172335	7,43E-13	6,07E-12	-0,025145019	1,02E-09	1,24E-08	-0,01888645	-0,017503538	0,020158446
NUDT9.9482.110.3	1,01E-36	3,01E-35	0,001306927	3,22E-35	7,53E-34	0,033216945	0,545100061	0,593603007	0,002326869	-0,005690596	0,000208071
SEC13.14689.3.3	1,12E-36	3,32E-35	0,001294122	0,003923022	0,008746066	0,007600902	0,001070472	0,002722723	0,00226623	-0,012443803	-0,019776816
CA3.3799.11.2	1,71E-36	5,01E-35	0,002768892	6,87E-82	5,43E-80	0,110693009	7,51E-05	0,000270477	0,012093477	0,052275907	0,02882301
ACYP2.12812.25.3	1,82E-36	5,28E-35	0,002225264	1,95E-18	2,36E-17	0,039980222	0,000452333	0,001278332	0,001934499	0,026122977	0,037506798
APOL1.11510.31.3	2,47E-36	7,09E-35	-0,001676326	1,07E-15	1,08E-14	-0,027600675	0,002533715	0,005727292	0,001933536	-0,02405908	-0,003834008
MUSK.11547.84.3	3,17E-36	9,01E-35	0,00268892	5,80E-06	2,25E-05	0,025005987	3,32E-19	1,83E-17	0,049429249	-0,027985876	-0,057782208
IGLL1.6485.59.3	3,25E-36	9,14E-35	-0,002674807	3,01E-26	5,02E-25	-0,058481155	5,83E-06	2,91E-05	0,011453855	-0,029759823	0,02663731
CCDC80.3234.23.2	6,93E-36	1,93E-34	0,001264745	0,000731315	0,001934083	0,008802254	1,51E-47	1,47E-44	0,009458438	0,050972533	0,07757097
CHI3L1.11104.13.3	1,70E-35	4,68E-34	0,005061734	0,025569922	0,046242978	0,023414204	1,77E-05	7,76E-05	0,033195405	0,052188586	0,099607998
SEMA3E.5363.51.3	2,67E-35	7,30E-34	0,002340423	0,001684766	0,004099785	0,01527951	0,000234794	0,000725208	-0,024381145	-0,01160017	0,008966724
TNXB.5698.60.3	1,22E-34	3,32E-33	-0,001400702	0,682296093	0,745458202	-0,001203211	0,002190659	0,00504939	0,003737005	-0,009756879	0,012924525
LMAN2.7638.30.3	2,49E-34	6,69E-33	-0,001934245	0,000598991	0,001616282	-0,01400767	0,000824843	0,002169663	0,015750195	0,011515084	-0,011801867
MRC1.2637.77.2	3,35E-34	8,91E-33	0,0013416	7,34E-11	4,93E-10	-0,01850968	3,41E-06	1,81E-05	0,000103364	0,000777814	0,027146903
HMGCS1.13496.19.3	5,04E-34	1,33E-32	-0,002886727	1,63E-13	1,38E-12	0,045261011	0,000638715	0,001733063	0,031828778	0,014168458	0,022031414
CCL3.3040.59.1	4,36E-33	1,14E-31	0,001898773	0,085297866	0,131106809	0,007028134	8,62E-16	3,11E-14	-0,036751405	-0,023089208	0,019285428
ST6GALNAC6.7228.2.3	5,71E-33	1,48E-31	0,001382457	0,040188822	0,067949309	-0,006113544	0,02536589	0,041894539	-0,009045745	-0,01194248	-0,000677422
MASP1.3605.77.4	6,94E-33	1,78E-31	-0,001328026	3,03E-12	2,38E-11	-0,020048513	0,000162881	0,000527605	0,016108419	0,009485072	0,002609515
PEX14.8300.82.3	1,07E-32	2,72E-31	0,002020389	0,002898064	0,006669424	0,01303077	0,96448191	0,969786726	-0,000824384	-0,0045745	-0,002778538
NOTCH1.5107.7.2	2,26E-32	5,70E-31	-0,000766416	1,44E-08	7,65E-08	-0,009470818	5,47E-08	4,55E-07	-0,009685045	0,000332583	0,010644182
CD36.2973.15.2	2,63E-32	6,57E-31	0,001816405	5,61E-38	1,52E-36	-0,051476193	2,83E-08	2,50E-07	-0,003813607	-0,046269629	-0,036825334
TP53I11.13022.20.3	9,10E-32	2,26E-30	0,003448052	3,66E-06	1,46E-05	0,035136041	1,67E-06	9,54E-06	0,052217909	0,010072302	-0,00483971
DCBLD2.9338.2.3	1,10E-31	2,71E-30	0,001069604	1,63E-20	2,14E-19	-0,021970177	0,001379553	0,003388072	-0,003648307	-0,00127737	0,01466713
BDNF.2421.7.3	1,14E-31	2,78E-30	0,00284085	4,16E-09	2,35E-08	-0,03683847	2,44E-07	1,74E-06	-0,02836262	-0,045254174	-0,063794177
FAM151A.7856.51.3	1,98E-31	4,79E-30	-0,00256144	8,54E-35	1,97E-33	0,070303794	0,163608986	0,208521256	0,01215369	0,004235499	-0,011875239
GSTP1.4911.49.2	2,12E-31	5,08E-30	0,002707912	0,001191817	0,00301302	0,019423075	0,493912858	0,544940401	0,0077746	0,016197272	0,007726504
NoneX.13231.90.3	4,52E-31	1,07E-29	0,002312207	0,000461546	0,001267626	0,018025469	0,898471149	0,913143888	-0,003545711	0,001313737	0,004758884
PSAPL1.8814.33.3	5,65E-31	1,33E-29	-0,002001529	1,55E-85	1,30E-83	0,089419503	6,95E-05	0,000253614	-0,001025156	0,040169712	0,009196803
GPC6.5350.14.2	4,46E-30	1,04E-28	0,001961106	0,005410744	0,01159445	0,012353271	0,000142612	0,000471344	-0,010965764	-0,013758946	-0,038713182
TBCA.12501.10.3	5,35E-30	1,24E-28	0,002023607	1,16E-17	1,33E-16	-0,039421437	4,54E-07	3,08E-06	-0,003020298	-0,001105163	0,045334424
DKK4.3365.7.2	1,09E-29	2,49E-28	0,002319496	5,92E-14	5,16E-13	-0,039838253	4,54E-05	0,000175557	-0,028698379	-0,028155744	-0,028848368
ART3.7970.315.3	1,08E-29	2,49E-28	-0,001466816	4,08E-123	5,68E-121	0,081549438	2,47E-11	4,22E-10	0,006800967	0,03619481	0,046306929
SGCB.7034.4.3	2,65E-29	6,01E-28	0,001552325	0,007053874	0,014653821	0,009605127	0,10706978	0,143990394	-0,003390151	-0,002655489	0,013176226
TPST1.7928.183.3	3,13E-29	7,04E-28	0,001637793	9,67E-45	3,25E-43	0,053449944	0,435193492	0,489592678	-0,006744019	0,004842319	0,002755655
SPINT1.2828.82.2	3,83E-29	8,55E-28	-0,002037339	0,003028931	0,006932412	0,013914016	0,058204381	0,085680833	0,003146993	0,011823705	0,025962944
TMEM132A.7871.16.3	4,77E-29	1,06E-27	-0,001742522	0,009625822	0,019525332	0,010409173	6,47E-09	6,61E-08	-0,027867727	-0,001707821	0,02023247
GEM.12817.1.3	4,93E-29	1,08E-27	-0,002227656	0,004413097	0,009706594	-0,014638604	5,40E-10	7,06E-09	0,038741269	0,044863153	0,015155831
PCOLCE.11237.49.3	7,43E-29	1,62E-27	0,001049854	5,61E-17	6,16E-16	0,020431264	6,33E-08	5,19E-07	-0,004343609	0,003635071	0,026080733
SCGB1C1.5960.49.3	1,30E-28	2,83E-27	0,00195649	0,000371579	0,001046073	0,016205695	0,002219807	0,005104509	-0,013322735	0,007304962	0,024395257
MBL2.3000.66.1	1,55E-28	3,32E-27	-0,00371932	0,000133694	0,000406926	0,033107948	7,60E-06	3,68E-05	-0,01243264	0,083660251	0,03725317
PSG5.9314.9.3	1,61E-28	3,44E-27	0,002079161	3,78E-11	2,68E-10	0,03210745	0,004004481	0,008392256	0,0137886	0,002508236	0,028303255
SELPLG.11266.8.3	3,71E-28	7,87E-27	-0,00248918	1,77E-06	7,37E-06	-0,027934266	0,004296901	0,008894859	0,010446449	0,021154696	0,041895749
SLC35G2.13501.10.3	4,86E-28	1,02E-26	-0,002278534	0,208098932	0,279343449	-0,006743011	1,60E-05	7,16E-05	0,024917095	0,030244437	-0,008470301
NAB1.13933.276.3	5,46E-28	1,14E-26	-0,0020132	0,000722511	0,001915945	-0,016026109	8,70E-07	5,45E-06	0,028910824	0,023438092	-0,006282715
CTRB1.5671.1.3	8,10E-28	1,68E-26	0,002845136	0,04666085	0,077371308	-0,013365299	4,15E-07	2,83E-06	0,001837061	-0,075455441	-0,041790515
HAVCR2.5134.52.2	9,36E-28	1,93E-26	0,001523271	1,02E-06	4,43E-06	-0,017625982	2,50E-09	2,77E-08	-0,018173499	0,012991954	0,033243068
COCH.7227.75.3	1,17E-27	2,40E-26	0,002906473	0,008716194	0,017791254	-0,018061592	0,006193198	0,012149634	-0,029524974	-0,008239935	-0,023115844
LAG3.9950.229.3	2,71E-27	5,50E-26	0,001828027	2,86E-12	2,26E-11	0,030539282	0,000204641	0,000645713	-0,004567162	0,017673418	0,036643919
CANT1.6480.1.3	3,25E-27	6,56E-26	0,001884588	0,399830788	0,482001671	0,003790552	0,859585724	0,878200574	-0,002469672	0,005972703	0,000838354
CXCL9.9188.119.3	4,58E-27	9,17E-26	0,002447642	0,023005591	0,042083398	-0,013335946	0,001138179	0,002879907	0,004818985	0,004144088	0,04373012
FCRL4.8973.23.3	6,21E-27	1,24E-25	-0,002186902	4,59E-15	4,44E-14	-0,041325361	0,188931762	0,235460334	-0,001862463	0,012675329	0,021981815
EDA2R.3083.71.1	6,63E-27	1,31E-25	0,001598988	0,834857525	0,869953067	0,000801272	0,532239312	0,582580706	0,0061364	0,002017739	0,007484253
NDUFB11.7747.47.3	1,30E-26	2,56E-25	-0,001719959	9,74E-08	4,71E-07	-0,022209869	0,003937638	0,008283293	-0,008400971	-0,003158663	0,021823195
IL1R2.14133.93.3	1,48E-26	2,88E-25	-0,001073043	5,76E-17	6,29E-16	0,021830365	0,001730325	0,004091513	-0,012428766	-0,009678965	-0,007499174
MFAP4.5636.10.3	1,72E-26	3,33E-25	0,001704866	5,01E-09	2,81E-08	-0,02420992	0,000212783	0,000665659	-0,002826932	-0,019387734	0,018509094
F8.13499.30.3	3,32E-26	6,40E-25	0,001607408	0,091756192	0,139857667	0,006609523	0,007346305	0,014221008	-0,014030633	0,012706546	0,00498576
F10.4878.3.1	5,93E-26	1,13E-24	-0,001007451	6,96E-05	0,000224839	-0,009830832	0,000190197	0,000606682	0,002626558	-0,02032541	-0,013036371
CXCL13.3487.32.2	6,50E-26	1,23E-24	-0,002326547	5,24E-11	3,63E-10	-0,037555098	1,81E-20	1,35E-18	-0,003493866	0,079770373	0,104150593
GDF11.MSTN.2765.4.3	1,02E-25	1,93E-24	-0,001150369	1,18E-141	1,72E-139	0,074593612	0,041478105	0,064021549	-0,007190432	0,007317215	0,008961246
PEAR1.8275.31.3	1,39E-25	2,60E-24	-0,000817493	0,025751477	0,046467039	0,004503924	0,000175817	0,000565125	-0,002539117	0,003715731	0,016484972
LRRTM2.6904.14.3	1,45E-25	2,70E-24	-0,001353823	3,99E-21	5,38E-20	-0,031720495	9,38E-16	3,34E-14	-0,006402824	-0,003839024	0,047625774
GFRA1.3314.74.2	1,63E-25	3,02E-24	0,001113044	4,14E-10	2,62E-09	0,017244055	1,29E-08	1,23E-07	-0,017932301	0,006049481	-0,01600788
NRCAM.5109.24.3	2,02E-25	3,72E-24	-0,001783678	2,95E-06	1,20E-05	-0,020690982	1,25E-10	1,87E-09	-0,025731204	0,014558055	0,040925917
CRYZL1.9207.60.3	3,34E-25	6,10E-24	0,002214704	0,000203846	0,000602271	0,020499816	5,59E-11	8,89E-10	0,048863103	0,004052444	-0,010576843
GHR.2948.58.2	4,16E-25	7,56E-24	-0,001528202	2,81E-39	7,99E-38	-0,050508041	1,47E-10	2,17E-09	0,001782006	-0,029504057	-0,052272591
PARVA.13434.172.3	4,46E-25	8,05E-24	0,00165495	7,46E-10	4,62E-09	-0,025494246	0,00170102	0,004035266	0,009028238	0,006603815	0,029853823
CCL7.4886.3.1	5,48E-25	9,84E-24	0,001558463	2,37E-06	9,72E-06	-0,018421786	0,130624857	0,17087554	0,001634323	-0,017754646	-0,009629529
