Up/Down with age	ID	Description	# Significant in top100	# Annotated in SOMAscan 2.9k	Min fdr	fdr_n10	fdr_n11	fdr_n12	fdr_n13	fdr_n14	fdr_n15	fdr_n16	fdr_n17	fdr_n18	fdr_n19	fdr_n20	fdr_n21	fdr_n22	fdr_n23	fdr_n24	fdr_n25	fdr_n26	fdr_n27	fdr_n28	fdr_n29	fdr_n30	fdr_n31	fdr_n32	fdr_n33	fdr_n34	fdr_n35	fdr_n36	fdr_n37	fdr_n38	fdr_n39	fdr_n40	fdr_n41	fdr_n42	fdr_n43	fdr_n44	fdr_n45	fdr_n46	fdr_n47	fdr_n48	fdr_n49	fdr_n50	fdr_n51	fdr_n52	fdr_n53	fdr_n54	fdr_n55	fdr_n56	fdr_n57	fdr_n58	fdr_n59	fdr_n60	fdr_n61	fdr_n62	fdr_n63	fdr_n64	fdr_n65	fdr_n66	fdr_n67	fdr_n68	fdr_n69	fdr_n70	fdr_n71	fdr_n72	fdr_n73	fdr_n74	fdr_n75	fdr_n76	fdr_n77	fdr_n78	fdr_n79	fdr_n80	fdr_n81	fdr_n82	fdr_n83	fdr_n84	fdr_n85	fdr_n86	fdr_n87	fdr_n88	fdr_n89	fdr_n90	fdr_n91	fdr_n92	fdr_n93	fdr_n94	fdr_n95	fdr_n96	fdr_n97	fdr_n98	fdr_n99	fdr_n100
up	GO:1901681	sulfur compound binding	11	84	0,00060085	0,112268571	0,136363636	0,15504	0,170415385	0,207114643	0,24099	0,322946667	0,290182609	0,317710426	0,342629412	0,339465	0,339465	0,371115789	0,389021311	0,372804348	0,400902174	0,420400845	0,444536711	0,455092857	0,307861667	0,333722188	0,2369375	0,232258235	0,213726	0,211457143	0,211457143	0,224571429	0,238015	0,24975	0,202606154	0,212824615	0,0793	0,0793	0,013066667	0,0050235	0,00060085	0,0007289	0,00087665	0,0010835	0,001313	0,001313	0,0015375	0,001845	0,002226	0,0027	0,003405	0,003859	0,0046	0,0046	0,0013176	0,001568	0,0019019	0,0022908	0,002772	0,003276	0,00378	0,004536	0,005334	0,00612	0,00612	0,007252	0,00832	0,00962	0,011223	0,012936	0,015232	0,010336	0,010902	0,010902	0,011869	0,011869	0,011869	0,0133455	0,015785	0,00609	0,0072	0,0072	0,008208	0,009579	0,010885	0,0126	0,01431	0,016371	0,018354	0,020736	0,02289	0,02289	0,024975	0,024975	0,0268	0,02704
up	GO:0008201	heparin binding	8	66	0,00060085	0,085692	0,11	0,1368	0,155129412	0,176421111	0,21489	0,300333333	0,260252941	0,286816111	0,295576923	0,310941951	0,310941951	0,336746667	0,3482875	0,332221154	0,354437069	0,365481356	0,393741356	0,402191356	0,248751905	0,263800952	0,2369375	0,22059	0,195435455	0,203072727	0,203072727	0,192	0,1991	0,209666667	0,121573333	0,14144	0,032175	0,032175	0,008428	0,0050235	0,00060085	0,0007289	0,00087665	0,0010835	0,001313	0,001313	0,0015375	0,001845	0,002226	0,0027	0,003405	0,003859	0,0046	0,0046	0,005612	0,0064925	0,0075335	0,008715	0,01008	0,011466	0,0126	0,01512	0,01651	0,019125	0,019125	0,022015	0,0247	0,0273	0,03132	0,03432	0,03944	0,029013333	0,03312	0,03312	0,038133333	0,038133333	0,038133333	0,042093333	0,04592	0,051233333	0,058	0,058	0,064853333	0,0721	0,078786667	0,08715	0,09646	0,10593	0,114846667	0,09477	0,103005	0,1119975	0,12321	0,1332	0,14405	0,156325
up	R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	8	60	0,000603375	0,044895592	0,012810478	0,000603375	0,000603375	0,000603375	0,000603375	0,001478692	0,004463825	0,004463825	0,008198181	0,014110393	0,014110393	0,022227432	0,032958963	0,047673222	0,002130576	0,003079989	0,004532641	0,004532641	0,006335415	0,006335415	0,007769651	0,008680514	0,010155369	0,013294939	0,013294939	0,013294939	0,013294939	0,016771474	0,016771474	0,016771474	0,005965183	0,005965183	0,008056478	0,008757041	0,001173658	0,001640221	0,001640221	0,002193452	0,002193452	0,002193452	0,002870752	0,002870752	0,003682364	0,004720016	0,005886414	0,007279283	0,007279283	0,008931019	0,011371386	0,013992754	0,016958099	0,022827911	0,022827911	0,027106809	0,027106809	0,021503402	0,024984723	0,023144675	0,023144675	0,026358694	0,02761387	0,029500283	0,029500283	0,030841205	0,030841205	0,007492518	0,008998091	0,008998091	0,010477154	0,010477154	0,012151889	0,014227835	0,016382017	0,020640757	0,026557686	0,026557686	0,026557686	0,030278224	0,041152703	0,048992953	0,057408572	0,067881927	0,067881927	0,079267047	0,079267047	0,091626627	0,095064171	0,095064171	0,09857692	0,102982806
up	R-HSA-500792	GPCR ligand binding	8	76	0,000782287	0,044895592	0,012980933	0,000782287	0,000782287	0,000782287	0,000782287	0,001903305	0,005704225	0,005704225	0,010400939	0,017773235	0,017773235	0,027796868	0,040922889	0,05877065	0,003244605	0,004830784	0,007056157	0,007056157	0,008146799	0,008146799	0,010617429	0,012246183	0,013915394	0,017091229	0,017091229	0,017091229	0,017091229	0,021401144	0,021401144	0,021401144	0,007609791	0,007609791	0,010465379	0,013024408	0,002856473	0,003960615	0,003960615	0,005254876	0,005254876	0,005254876	0,00682349	0,00682349	0,008683935	0,01036858	0,011059819	0,011773356	0,011773356	0,013606355	0,017188836	0,02098608	0,025234991	0,033704888	0,033704888	0,039710814	0,039710814	0,035686814	0,040696997	0,043334967	0,043334967	0,047207004	0,054271925	0,063427909	0,063427909	0,072326706	0,072326706	0,024158944	0,025895301	0,025895301	0,027750015	0,027750015	0,031930345	0,037088632	0,042365652	0,052956464	0,067597844	0,067597844	0,067597844	0,076458312	0,103097192	0,108881726	0,112728012	0,118167577	0,118167577	0,122723091	0,122723091	0,134456512	0,14639581	0,14639581	0,162740864	0,181942625
down	GO:0098644	complex of collagen trimers	3	4	0,00097375	0,29694	0,32844	0,264	0,298571429	0,328	0,222981818	0,194306667	0,209028571	0,216075	0,27009375	0,2684	0,276991579	0,28204	0,2682344	0,013846667	0,01608	0,01768	0,025205	0,017812	0,02926	0,02695	0,0395	0,042133333	0,044	0,0492	0,05225	0,05555	0,061974286	0,042453333	0,039468333	0,036607143	0,038364286	0,040414286	0,043342857	0,05125	0,053983333	0,056375	0,00097375	0,0011025	0,00147	0,001740333	0,001740333	0,001908333	0,00154575	0,002137333	0,002213667	0,00182125	0,001739	0,001652	0,0017464	0,0017936	0,001888	0,0020726	0,002169	0,0022654	0,002989	0,003198	0,0026568	0,0028044	0,0037465	0,0031496	0,003315	0,0034952	0,0044975	0,0047085	0,0039216	0,0039216	0,0041796	0,0054365	0,004558	0,00486	0,005022	0,0053156	0,0053156	0,00554	0,00556	0,006116	0,006204	0,006768	0,006768	0,006768	0,007332	0,007358	0,00798	0,00798	0,00798	0,0087	0,0087	0,00928	0,00928	0,00986
down	GO:0044421	extracellular region part	53	1096	0,001189	0,543821875	0,507571429	0,52675	0,551885714	0,458453333	0,278506667	0,185169231	0,206046154	0,21285	0,21285	0,1122	0,06006	0,03036	0,073815	0,013846667	0,029256667	0,01768	0,030428571	0,020196667	0,042606667	0,028952	0,047663333	0,07505	0,0568	0,100274286	0,062425	0,087945	0,061974286	0,042453333	0,02985	0,0322875	0,025625	0,015375	0,008405	0,0164	0,0093275	0,00533	0,001189	0,002436	0,00462	0,00908	0,00908	0,013358333	0,008015	0,00458	0,008396667	0,005091667	0,009008333	0,005506667	0,003225333	0,005506667	0,00944	0,015665	0,025305	0,038961667	0,061	0,0902	0,0615	0,0902	0,131233333	0,0889	0,1275	0,176228571	0,220285714	0,289734	0,213771429	0,213771429	0,291171429	0,3461675	0,287714286	0,219857143	0,171	0,203542857	0,203542857	0,1662	0,198571429	0,139397143	0,192968571	0,25944	0,1625025	0,2181975	0,1561575	0,12735	0,10545	0,10545	0,06091875	0,044328571	0,062142857	0,074675	0,060071429	0,0786625
up	R-HSA-193993	Mineralocorticoid biosynthesis	2	2	0,002130576	0,044895592	0,042762251	0,032204704	0,032204704	0,032204704	0,032204704	0,050401289	0,077878294	0,077878294	0,091606141	0,092737102	0,092737102	0,118829857	0,136414062	0,145646358	0,002130576	0,003079989	0,004532641	0,004532641	0,006335415	0,006335415	0,007769651	0,008680514	0,009936809	0,011238203	0,011238203	0,011238203	0,011238203	0,012362023	0,012362023	0,012362023	0,006923536	0,006923536	0,008056478	0,008757041	0,00632453	0,007257398	0,007257398	0,008045532	0,008045532	0,008045532	0,008806097	0,008806097	0,009523282	0,01036858	0,011059819	0,011773356	0,011773356	0,013606355	0,017188836	0,02098608	0,023895777	0,028429674	0,028429674	0,029966413	0,029966413	0,021503402	0,024984723	0,024434578	0,024434578	0,026358694	0,02761387	0,029500283	0,029500283	0,030841205	0,030841205	0,024158944	0,025895301	0,025895301	0,027750015	0,027750015	0,031930345	0,037088632	0,041125255	0,046928012	0,054824552	0,054824552	0,054824552	0,056893403	0,070550942	0,074087002	0,076732967	0,080465858	0,080465858	0,083599339	0,083599339	0,091626627	0,095064171	0,095064171	0,09857692	0,102982806
up	R-HSA-388396	GPCR downstream signaling	9	111	0,00235745	0,055447079	0,026497333	0,00235745	0,00235745	0,00235745	0,00235745	0,005644604	0,016649187	0,016649187	0,029878792	0,046476843	0,046476843	0,064303565	0,085076545	0,104747487	0,008610539	0,011349421	0,014824987	0,014824987	0,020232613	0,020232613	0,026985778	0,034861053	0,045300835	0,053093001	0,053093001	0,053093001	0,053093001	0,06038287	0,06038287	0,06038287	0,022100003	0,022100003	0,023908547	0,029376254	0,012672667	0,016153683	0,016153683	0,019789154	0,019789154	0,019789154	0,022196786	0,022196786	0,025787196	0,032235124	0,029176309	0,031024086	0,031024086	0,036008245	0,044717747	0,053284685	0,058160918	0,074216706	0,074216706	0,078362595	0,078362595	0,084191352	0,096969766	0,105198995	0,105198995	0,122857833	0,138887144	0,150225211	0,150225211	0,150721551	0,150721551	0,074818003	0,082467283	0,082467283	0,089939836	0,089939836	0,092445108	0,097347745	0,10738255	0,131940732	0,155197817	0,155197817	0,155197817	0,16247696	0,118639628	0,135558409	0,152371257	0,172978089	0,172978089	0,180860299	0,180860299	0,198004363	0,216343303	0,216343303	0,23837195	0,250365607
up	R-HSA-193048	Androgen biosynthesis	2	3	0,003244605	0,044895592	0,042762251	0,03859236	0,03859236	0,03859236	0,03859236	0,053756564	0,077878294	0,077878294	0,091606141	0,092737102	0,092737102	0,118829857	0,136414062	0,145646358	0,003244605	0,004830784	0,005953156	0,005953156	0,006826664	0,006826664	0,007769651	0,008680514	0,010155369	0,013294939	0,013294939	0,013294939	0,013294939	0,016771474	0,016771474	0,016771474	0,010305064	0,010305064	0,011986901	0,013024408	0,012672667	0,016153683	0,016153683	0,017929281	0,017929281	0,017929281	0,019616893	0,019616893	0,021206647	0,023080391	0,024609928	0,026187919	0,026187919	0,022251447	0,024663562	0,026558628	0,029420796	0,039911563	0,039911563	0,044337723	0,044337723	0,038164978	0,040696997	0,043334967	0,043334967	0,047207004	0,054271925	0,063427909	0,063427909	0,068269356	0,068269356	0,052196084	0,058941501	0,058941501	0,063672934	0,063672934	0,066301141	0,069895127	0,072663696	0,082885435	0,080663497	0,080663497	0,080663497	0,083676004	0,103723901	0,108881726	0,112728012	0,118167577	0,118167577	0,122723091	0,122723091	0,134456512	0,14639581	0,14639581	0,162740864	0,181140618
up	GO:0005179	hormone activity	6	58	0,0038	0,04514	0,0675	0,0038	0,005852	0,00913	0,01392	0,02332	0,0453	0,05889	0,0795	0,10017	0,10017	0,1248	0,1584	0,198	0,01815	0,02324	0,02873	0,03549	0,04394	0,05239	0,0629	0,07524	0,09308	0,1098	0,1098	0,01224	0,014842	0,01813	0,02256	0,02688	0,0312	0,0312	0,013066667	0,014446667	0,0123125	0,0142825	0,0162525	0,018715	0,021715	0,021715	0,0251125	0,0281875	0,03286	0,03726	0,044265	0,0493725	0,055775	0,055775	0,06527	0,0728875	0,0808925	0,0902625	0,10017	0,1071	0,12033	0,13167	0,14478	0,1587375	0,1587375	0,174825	0,18928	0,195	0,202014	0,210672	0,223584	0,19584	0,2139	0,2139	0,17875	0,17875	0,17875	0,19229	0,2059225	0,2229375	0,1971	0,1971	0,213408	0,231132	0,247867	0,259445455	0,268276364	0,27927	0,297118182	0,29052	0,3103775	0,3283625	0,343393636	0,34743	0,353577273	0,360840606
up	GO:0005539	glycosaminoglycan binding	9	90	0,004071333	0,112268571	0,136363636	0,15504	0,170415385	0,207114643	0,24099	0,322946667	0,305256863	0,334871538	0,362461111	0,352875738	0,352875738	0,3824	0,393885211	0,379714286	0,410828	0,436820263	0,468283636	0,482255062	0,33124	0,363247576	0,2369375	0,232258235	0,213726	0,211457143	0,211457143	0,224571429	0,244037931	0,257086207	0,202606154	0,212824615	0,08112	0,08112	0,01568	0,0182225	0,004071333	0,004925	0,00591	0,007223333	0,008753333	0,008753333	0,01025	0,0123	0,01484	0,01728	0,021186667	0,024213333	0,028366667	0,028366667	0,034973333	0,040016667	0,045283333	0,05229	0,05964	0,0672	0,07644	0,08568	0,09652	0,10795	0,10795	0,122593333	0,136933333	0,151666667	0,16878	0,04136	0,047146667	0,03944	0,04485	0,04485	0,052195	0,052195	0,052195	0,0581175	0,064575	0,071775	0,0825	0,0825	0,09196	0,1027425	0,1142925	0,1267875	0,13992	0,148302	0,15456	0,13392	0,140065	0,14824	0,163725	0,1776	0,193183333	0,210686667
up	R-HSA-375276	Peptide ligand-binding receptors	6	54	0,004568037	0,160109923	0,042762251	0,004568037	0,004568037	0,004568037	0,004568037	0,008427714	0,020429648	0,020429648	0,031385169	0,046476843	0,046476843	0,064303565	0,085076545	0,104747487	0,046178536	0,054991186	0,058026241	0,058026241	0,067669705	0,067669705	0,077855565	0,09053206	0,106780637	0,11919106	0,11919106	0,11919106	0,11919106	0,119198644	0,119198644	0,119198644	0,030609315	0,030609315	0,03537507	0,041192662	0,012672667	0,016153683	0,016153683	0,019789154	0,019789154	0,019789154	0,022196786	0,022196786	0,025787196	0,032235124	0,029176309	0,031024086	0,031024086	0,036008245	0,040115506	0,043165808	0,048256181	0,061229356	0,061229356	0,068661965	0,068661965	0,078445806	0,088579477	0,086364942	0,086364942	0,094617152	0,104362991	0,108164327	0,108164327	0,105366145	0,105366145	0,052196084	0,058941501	0,058941501	0,064642165	0,064642165	0,070733495	0,076263816	0,079255074	0,090370299	0,094948074	0,094948074	0,094948074	0,098457288	0,118639628	0,135404455	0,14760594	0,162697363	0,162697363	0,177441753	0,177441753	0,198004363	0,216343303	0,216343303	0,23025832	0,240279693
